[DEBUG] 2015-07-20 01:48:16.737 	 [AI] Specimen 9 finished simulation.
[DEBUG] 2015-07-20 01:48:16.737 	 [AI] Specimen 10 starting simulation.
[DEBUG] 2015-07-20 01:48:16.745 	 [AI] Specimen 10 finished simulation.
[DEBUG] 2015-07-20 01:48:16.745 	 [AI] Specimen 11 starting simulation.
[DEBUG] 2015-07-20 01:48:16.755 	 [AI] Specimen 11 finished simulation.
[DEBUG] 2015-07-20 01:48:16.756 	 [AI] Specimen 12 starting simulation.
[DEBUG] 2015-07-20 01:48:16.778 	 [AI] Specimen 12 finished simulation.
[DEBUG] 2015-07-20 01:48:16.778 	 [AI] Specimen 13 starting simulation.
[DEBUG] 2015-07-20 01:48:16.791 	 [AI] Specimen 13 finished simulation.
[DEBUG] 2015-07-20 01:48:16.791 	 [AI] Specimen 14 starting simulation.
[DEBUG] 2015-07-20 01:48:16.804 	 [AI] Specimen 14 finished simulation.
[DEBUG] 2015-07-20 01:48:16.804 	 [AI] Specimen 15 starting simulation.
[DEBUG] 2015-07-20 01:48:16.82 	 [AI] Specimen 15 finished simulation.
[DEBUG] 2015-07-20 01:48:16.821 	 [AI] Specimen 16 starting simulation.
[DEBUG] 2015-07-20 01:48:16.843 	 [AI] Specimen 16 finished simulation.
[DEBUG] 2015-07-20 01:48:16.843 	 [AI] Specimen 17 starting simulation.
[DEBUG] 2015-07-20 01:48:16.869 	 [AI] Specimen 17 finished simulation.
[DEBUG] 2015-07-20 01:48:16.869 	 [AI] Specimen 18 starting simulation.
[DEBUG] 2015-07-20 01:48:16.891 	 [AI] Specimen 18 finished simulation.
[DEBUG] 2015-07-20 01:48:16.891 	 [AI] Specimen 19 starting simulation.
[DEBUG] 2015-07-20 01:48:16.918 	 [AI] Specimen 19 finished simulation.
[DEBUG] 2015-07-20 01:48:16.918 	 [AI] Specimen 20 starting simulation.
[DEBUG] 2015-07-20 01:48:16.945 	 [AI] Specimen 20 finished simulation.
[DEBUG] 2015-07-20 01:48:16.945 	 [AI] Generation 0 finished processing simulations.
[DEBUG] 2015-07-20 01:48:16.949 	 [AI] Generation 0 successfully evaluated.
[DEBUG] 2015-07-20 01:48:16.949 	 [AI] Generation: #0 Best specimen: ID [6] evaluation = -996 values: 7/7/3
