[INFO] 2015-07-20 01:49:30.675 	 [AI] Generation 12 finished processing simulations.
[INFO] 2015-07-20 01:49:30.676 	 [AI] Generation 12 successfully evaluated.
[INFO] 2015-07-20 01:49:30.676 	 [AI] Generation: #12 Best specimen: ID [12000241] evaluation = -996 values: 15/9/10
[INFO] 2015-07-20 01:49:36.678 	 [AI] Creating new generation.
[INFO] 2015-07-20 01:49:36.678 	 [AI] Generation 13 added to sandbox.
[INFO] 2015-07-20 01:49:36.678 	 [AI] Generation 13 initiated.
[INFO] 2015-07-20 01:49:36.678 	 [AI] Generation 13 started processing simulations.
[INFO] 2015-07-20 01:49:36.807 	 [AI] Generation 13 finished processing simulations.
[INFO] 2015-07-20 01:49:36.808 	 [AI] Generation 13 successfully evaluated.
[INFO] 2015-07-20 01:49:36.808 	 [AI] Generation: #13 Best specimen: ID [13000261] evaluation = -996 values: 15/9/10
[INFO] 2015-07-20 01:49:42.81 	 [AI] Creating new generation.
[INFO] 2015-07-20 01:49:42.81 	 [AI] Generation 14 added to sandbox.
[INFO] 2015-07-20 01:49:42.81 	 [AI] Generation 14 initiated.
[INFO] 2015-07-20 01:49:42.81 	 [AI] Generation 14 started processing simulations.
[INFO] 2015-07-20 01:49:42.928 	 [AI] Generation 14 finished processing simulations.
[INFO] 2015-07-20 01:49:42.928 	 [AI] Generation 14 successfully evaluated.
[INFO] 2015-07-20 01:49:42.928 	 [AI] Generation: #14 Best specimen: ID [14000281] evaluation = -996 values: 15/9/10
[INFO] 2015-07-20 01:49:48.93 	 [AI] Creating new generation.
[INFO] 2015-07-20 01:49:48.93 	 [AI] Generation 15 added to sandbox.
[INFO] 2015-07-20 01:49:48.93 	 [AI] Generation 15 initiated.
[INFO] 2015-07-20 01:49:48.93 	 [AI] Generation 15 started processing simulations.
[INFO] 2015-07-20 01:49:49.039 	 [AI] Generation 15 finished processing simulations.
[INFO] 2015-07-20 01:49:49.039 	 [AI] Generation 15 successfully evaluated.
[INFO] 2015-07-20 01:49:49.039 	 [AI] Generation: #15 Best specimen: ID [15000301] evaluation = -996 values: 15/9/10
[INFO] 2015-07-20 01:49:55.041 	 [AI] Creating new generation.
[INFO] 2015-07-20 01:49:55.041 	 [AI] Generation 16 added to sandbox.
[INFO] 2015-07-20 01:49:55.041 	 [AI] Generation 16 initiated.
